,role_or_degree,education_code
5990,"bachelor’s degree, bs in information technology in service managemernt",1791
5991,"bs, it",2105
5992,2009 - 2010,127
5993,"primary, secondary",3073
5999,1967 - 1982,4
6002,"bachelor of science in business administration, major in computer application",1193
6003,"full time course, application development",2484
6006,"bsit, information technology",2191
6008,master of science in electronics engineering - major in artificial intelligence and automation,2847
6010,"bachelor of science (bs), applied mathematics",835
6012,"bachelor of science in commerce, accounting",1232
6013,"postgraduate degree, cyber/computer forensics and counterterrorism",3053
6015,"postgraduate degree, supply chain management logistics",3055
6016,"diploma, strategic purchasing",2382
6019,"b.s. information systems, service management",313
6021,"bachelor's degree, computer science major in computer systems engineering",1623
6026,"hp engage innovation and entrepreneurship certificate, organizational leadership",2571
6027,executive general management programme ,2461
6028,bachelor of science - bs,931
6029,pre-university,3061
6031,"bachelor of science entertainment and multimedia computing with specialization in digital animation, animation",1095
6033,"master of science - ms, industrial engineering and management",2837
6036,master of technology management (mtm),2864
6038,post graduate diploma in management,3038
6039,"bs, metallurgical engineering",2109
6041,"associate’s degree, computer technology/computer systems technology",276
6042,"bsba, human resource management",2149
6043,"competency based, human resource management",2295
6046,"bs computer science major in computer systems engineering, computer technology/computer systems technology",1954
6047,"bachelor of science, biology, microbiology",1432
6048,"post graduate diploma, industrial relations",3041
6052,"bachelor of science - bs computer engineering, specialization in digital signal processing",936
6054,"bachelor of science (b.s.), psychology and guidance and counseling",799
6059,"bachelor's degree, b.s., electronics and communications engineering",1557
6060,"bachelor of science - bs, food science and technology",1013
6061,"bachelor of science - bs, information technology major in service management and business analytics",1035
6063,"post graduate (21units), secondary in teaching secondary",3037
6064,"master of science in information technology - car, information technology",2851
6065,"bs. ece, electronics and communications",2118
6067,"bachelors, business administration",1753
6068,"master’s degree, masters in engineering program - computer engineering",2952
6070,bachelor of business administration - bba,585
6073,"bs management, minor in information technology management, business administration and management, general",2042
6074,"college, bachelor of technology in information technology",2286
6075,"high school diploma, computer hardware services",2522
6078,"bachelor of science, computer science major in software technology",1450
6080,2004 - 2011,105
6082,"bachelor's degree in computer science, computer science",1526
6083,"certification, educational/instructional technology",2261
6085,"certificate, php & mysql basic",2255
6090,"information technology, network systems specialization",2599
6091,"bs in commerce, business management",2001
6092,"certificate, javascript",2252
6093,"bachelors, electronics engineering",1756
6096,"aircraft technician course, aeronautics",244
6100,managing the arts program,2689
6101,"the science of well-being, positive psychology, leadership, organizational developmen",3176
6102,"leadership+management development program, organizational leadership, business administration and general management",2650
6103,"bachelor of science, tourism",1497
6104,"bachelor of science, hotel & restaurant administration",1463
6107,"master in business management, business, management, marketing, and related support services",2718
6108,"ma, education (teaching in early grades, k-2)",2668
6116,masters of technology management,2936
6122,"master of arts (ma), economics",2730
6123,"bachelor of arts (ba), economics",456
6124,"master of science in mathematics, mathematics",2855
6125,"bachelor of science in mathematics, mathematics",1370
6128, cisco network academy training,0
6129,cisco network academy training,2279
6130,"bachelor's degree, electronics engineering ( bsece )",1645
6133,business/corporate communications,2208
